SKU,PN
Customer Lockbox for Government,Lockbox Enterprise GOV
CPC_E_4C_16GB_256GB,"Windows 365 Enterprise 4 vCPU, 16 GB, 256 GB"
STANDARDWOFFPACK_FLOW_O365_P1,O365 E2 - Flow for Office 365
STANDARDWOFFPACK_SWAY,O365 E2 - Sway
SPZA_IW,App Connect IW
POWER_BI_PRO_CE,Power BI Pro (Nonprofit Staff Pricing)
O365_BUSINESS_PREMIUM_KAIZALA_O365_P2,M365 Business Standard - Microsoft Kaizala Pro
AAD_EDU,Azure Active Directory for Education
M365_F1_TEAMS1,M365 F1 - Microsoft Teams
WACSHAREPOINTENT_STUDENT,Office Web Apps (Plan 2 For Students)
DYN365_FINANCIALS_BUSINESS_SKU,Dynamics 365 for Financials Business Edition
VISIOCLIENT_GOV,Visio Pro for Office 365 for Government
ADV_COMMS,Advanced Communications add-on for Microsoft Teams
DYN365_CDS_O365_P1_GCC,Common Data Service - O365 P1 GCC
DEVELOPERPACK_STREAM_O365_E5,O365 E3 Developer - Stream for Office 365
KAIZALA_STANDALONE,Microsoft Kaizala
STANDARDPACK_SHAREPOINTWAC,O365 E1 - Office for web
EXCHANGEESSENTIALS_EXCHANGE_S_STANDARD,Exchange Online Essentials (ExO P1 Based)
VIDEO_INTEROP_VIDEO_INTEROP,Polycom Skype Meeting Video Interop for Skype for Business
ENTERPRISEPACK_FORMS_PLAN_E3,O365 E3 - Microsft Forms (Plan E3)
D365_SALES_PRO_IW,Dynamics 365 for Sales Professional Trial
DEVELOPERPACK_MCOSTANDARD,O365 E3 Developer - Skype for Business Online (P2)
MCOEV_USGOV_GCCHIGH,Microsoft Teams Phone Standard for US GOV GCC High
INTUNE_O365_STANDALONE,Mobile Device Management for Office 365
ECAL_SERVICES,"ECAL Services (EOA, EOP, DLP)"
DYN365_ENTERPRISE_TEAM_MEMBERS_PROJECT_ESSENTIALS,D365 for Team Members Ent Edition - Project Online Essential
DYN365_ENTERPRISE_FIELD_SERVICE,Dynamics 365 for Field Service Enterprise Edition
STANDARDPACK_GOV,Office 365 Enterprise E1 for Government
MDE_LITE,Microsoft Defender for Endpoint Plan 1
PROJECTCLIENT_PROJECT_CLIENT_SUBSCRIPTION,Project for O365 - Project Online Desktop Client
CDS_Flow_Business_Process,Common data service for Flow per business process plan
AX_SELF-SERVE_USER,Microsoft Dynamics AX Self-Serve
DYN365_Enterprise_Talent_Attract_TeamMember,Dynamics 365 for Talent - Attract Experience Team Member
O365_BUSINESS_ESSENTIALS_EXCHANGE_S_STANDARD,M365 Business Basic - Exchange Online (P2)
ONEDRIVE_BASIC_GOV,OneDrive for Business Basic for Government
EMS_ADALLOM_S_DISCOVERY,Ent Mobility + Security E3 - Cloud App Security Discovery
CCIBOTS_PRIVPREV_VIRAL_DYN365_CDS_CCI_BOTS,Dynamics Bots Trial - Common Data Service
ENTERPRISEPREMIUM_INTUNE_O365,O365 E5 - Microsoft Intune
MCO_TEAMS_IW,Microsoft Teams (Conferencing)
DESKLESSPACK_SHAREPOINTDESKLESS,O365 F1 - SharePoint Online Kiosk
ENTERPRISEPREMIUM_EQUIVIO_ANALYTICS,O365 E5 - Office 365 Advanced eDiscovery
ENTERPRISEPREMIUM_CUSTOMER_KEY,O365 E5 - Microsoft Customer Key
STANDARDPACK_POWERAPPS_O365_P1,O365 E1 - PowerApps for Office 365
EDUPACK_STUDENT,Office 365 Education for Students
STANDARDWOFFPACK_SHAREPOINTWAC,O365 E2 - Office for web
CRMPLAN2_POWERAPPS_DYN_APPS,MS Dynamics CRM Online Basic  - PowerApps for Office 365
EQUIVIO_ANALYTICS_GOV,Office 365 Advanced eDiscovery for Government
INTUNE_A_VL_INTUNE_A_VL,Microsoft Intune VL
THREAT_INTELLIGENCE_GOV,Microsoft Defender for Office 365 (Plan 2) for Government
FLOW_CUSTOMER_SERVICE_PRO,Power Automate for Customer Service Pro
AAD_PREMIUM_P2_ADALLOM_S_DISCOVERY,Azure AD Premium P2 - Cloud App Security Discovery
Deskless,Microsoft Staffhub
SPE_F1_BPOS_S_TODO_FIRSTLINE,M365 F1 - To-do (Firstline)
MCOPSTN6,Microsoft 365 Domestic Calling Plan (240 Minutes)
O365_BUSINESS_ESSENTIALS_MCOSTANDARD,M365 Business Basic - Skype for Business Online (P2)
SMB_BUSINESS_ESSENTIALS_PROJECTWORKMANAGEMENT,M365 Business Basic - Microsoft Planner
VISIOCLIENT_ONEDRIVE_BASIC,Visio Online P2 - OneDrive Basic
ENTERPRISEPREMIUM_MIP_S_CLP2,O365 E5 - Information Protection for Office 365 - Premium
STANDARDWOFFPACK_GOV,Office 365 Enterprise E2 for Government
FORMS_GOV_E1,Forms for Government (Plan E1)
BI_AZURE_P3,Power BI Premium Per User
POWER_AUTOMATE_ATTENDED_RPA,Power Automate RPA Attended
SKU_DYNAMICS_365_FOR_HCM_TRIAL_DYNAMICS_365_FOR_HCM_TRIAL,Dynamics 365 for Talents
EXCHANGEENTERPRISE_FACULTY,Exchange Online (Plan 2) for Faculty
ENTERPRISEPREMIUM_DATA_INVESTIGATIONS,O365 E5 - Microsoft Data Investigations
FLOW_P2_VIRAL_REAL,Flow P2 Viral
TEAMS_COMMERCIAL_TRIAL_FORMS_PLAN_E1,Microsoft Teams Commercial Cloud - Microsoft Forms (P1)
EXCHANGESTANDARD_GOV,Exchange Online P1 for Government
DYN365_ENTERPRISE_SALES_DYN365_ENTERPRISE_SALES,D365 for Sales Enterprise Edition - Dynamics 365 for Sales Enterprise Edition
PROJECTONLINE_PLAN_1_FORMS_PLAN_E1,Project Online Premium Without Project Client - Microsft Forms (Plan E1)
POWERAPPS_DEV,Power Apps for Developer
SHAREPOINTDESKLESS,Sharepoint Online Kiosk
PROJECTONLINE_PLAN_3_PROJECT_CLIENT_SUBSCRIPTION,Project Online With Project for O365 - Project Online Desktop Client
POWER_VIRTUAL_AGENTS_O365_P1,POWER VIRTUAL AGENTS FOR OFFICE 365 P1
PROJECTCLIENT_FACULTY,Project Pro for Office 365 for Faculty
ENTERPRISEPREMIUM_NOPSTNCONF_EXCHANGE_S_ENTERPRISE,O365 E5 Without Audio Conferencing - Exchange Online (P2)
ENTERPRISEPREMIUM_MCOEV,O365 E5 - Microsoft Phone System
CRMPLAN2,Microsoft Dynamics CRM Online Basic
M365_F1_DYN365_CDS_O365_F1,M365 F1 - Common Data Service
MCOEVSMB_1,Microsoft Teams Phone Standard for Small and Medium Business
ENTERPRISEPREMIUM_SHAREPOINTWAC,O365 E5 - SharePoint (P2)
MS_TEAMS_IW,Microsoft Teams Trial
DYN365_ENTERPRISE_PLAN1_SHAREPOINT_PROJECT,D365 Customer Engagement Plan Ent Edition - Project Online Service
ENTERPRISEPREMIUM_YAMMER_ENTERPRISE,O365 E5 - Yammer Enterprise
DYN365_CDS_DEV_VIRAL,Common Data Service
CRMSTANDARD_GCC,Microsoft Dynamics CRM Online Government Professional
FLOW_CCI_BOTS,Flow for CCI Bots
STANDARDPACK_YAMMER_ENTERPRISE,O365 E1 - Yammer Enterprise
OFFICE_FORMS_PLAN_3,Microsoft Forms (Plan 3)
SMB_BUSINESS_PREMIUM_YAMMER_MIDSIZE,M365 Business Standard - Yammer Enterprise
SMB_BUSINESS_PREMIUM_MCOSTANDARD,M365 Business Standard - Skype for Business Online (P2)
EMSPREMIUM_RMS_S_PREMIUM,Ent Mobility + Security E5 - Azure Information Protection P1
INSIDER_RISK,Microsoft Insider Risk Management
WACSHAREPOINTENT_GOV,Office Web Apps (Plan 2G for Government)
STANDARDWOFFPACK_SHAREPOINTSTANDARD,O365 E2 - SharePoint (P1)
WHITEBOARD_PLAN1,Whiteboard (Plan 1)
STANDARDPACK_STUDENT,Office 365 Education E1 for Students
PROJECT_O365_P2,Project for Office (Plan E3)
M365EDU_A5_NOPSTNCONF_FACULTY,Microsoft 365 A5 without Audio Conferencing for faculty
EXCHANGE_S_ARCHIVE_ADDON,Exchange Online Archiving for Exchange Online
POWER_BI_ADDON_BI_AZURE_P1,Power BI for O365 Add-on - Microsoft Power BI Reporting And Analytics Plan 1
SPE_F1_EXCHANGE_S_DESKLESS,M365 F1 - Exchange Online Kiosk
MCOSTANDARD_STUDENT,Skype for Business Online (Plan 2) for Students
Intelligent_Content_Services,SharePoint Syntex
EXCHANGESTANDARD_FACULTY,Exchange (Plan 1 for Faculty)
CDSAICAPACITY_PERUSER,AI Builder capacity Per User add-on
DYN365_SALES_INSIGHTS_VIRAL_TRIAL,Dynamics 365 Sales Insights vTrial
POWERAPPS_DYN_P2,Power Apps for Dynamics 365
STANDARDWOFFPACK_YAMMER_ENTERPRISE,O365 E2 - Yammer Enterprise
PROJECTESSENTIALS_SHAREPOINTWAC,Project Online Essentials - Office for web
LITEPACK_P6_SWAY,Office 365 Small Business Premium - Sway
ENTERPRISEPREMIUM_FLOW_O365_P3,O365 E5 - Flow for Office 365
M365_F1_RMS_S_ENTERPRISE_GOV,M365 F1 - Azure Rights Management
STANDARDWOFFPACK_IW_STUDENT,Office 365 A1 Plus for Students
DYN365_CDS_O365_P3_GCC,Common Data Service - O365 P3 GCC
DYN365_CUSTOMER_INSIGHTS_BASE,Dynamics 365 Customer Insights
POWER_BI_STANDALONE,Power BI for Office 365 Standalone
WIN10_VDA_E5_VIRTUALIZATION RIGHTS FOR WINDOWS 10 (E3/E5+VDA),Windows 10 Enterprise E5 - Windows 10 Enterprise
DYN365_CS_MESSAGING_VIRAL_TRIAL,Dynamics 365 Customer Service Digital Messaging vTrial
POWER_BI_STANDARD,Power BI (free)
CUSTOMER_VOICE_ADDON,Dynamics Customer Voice Add-On
SQL_IS_SSIM,Microsoft Power BI Information Services Plan 1
ENTERPRISEPREMIUM_EXCHANGE_ANALYTICS,O365 E5 - Delve Analytics
POWERAPPS_O365_P3_GOV,Power Apps for Office 365 P3 for Government
CDS_O365_F1,Common Data Service for Teams
DYN365_CDS_DYN_APPS,Common Data Service
O365_BUSINESS_PREMIUM_FORMS_PLAN_E1,M365 Business Standard - Microsft Forms (Plan E1)
MCOMEETADV_GOV,Microsoft 365 Audio Conferencing for GCC
PROJECT_O365_P1,Project for Office (Plan E1)
DYN365_PROJECT_OPERATIONS_ATTACH,Dynamics 365 Project Operations Attach
OFFICE365_MULTIGEO,Multi-Geo Capabilities in Office 365
EMS_RMS_S_ENTERPRISE,Ent Mobility + Security E3 - Azure Rights Management
DYN365_ENTERPRISE_TEAM_MEMBERS,Dynamics 365 for Team Members Enterprise Edition
PROJECT_P1,Project Plan 1
SKU ID,Product Name
VISIO_CLIENT_SUBSCRIPTION_GOV,Visio Desktop App for Government
EMSPREMIUM_ADALLOM_S_STANDALONE,Ent Mobility + Security E5 - Microsoft Cloud App Security
EXCHANGE_S_ENTERPRISE_GOV,Exchange Online P2 for Government
WACSHAREPOINTENT_FACULTY,Office Web Apps (Plan 2 For Faculty)
CDS_O365_F1_GCC,Common Data Service for Teams_F1 GCC
DEVELOPERPACK_SHAREPOINT_S_DEVELOPER,O365 E3 Developer - SharePoint (P2)
PROJECTONLINE_PLAN_1_FACULTY,Project Online for Faculty Plan 1
ADALLOM_FOR_AATP,SecOps Investigation for MDI
SMB_BUSINESS_PREMIUM_POWERAPPS_O365_P1,M365 Business Standard - PowerApps for Office 365
O365_BUSINESS_PREMIUM_FLOW_O365_P1,M365 Business Standard - Flow for Office 365
ENTERPRISEPACK_YAMMER_ENTERPRISE,O365 E3 - Yammer Enterprise
MEE_STUDENT,Minecraft Education Edition Student
SHAREPOINTLITE,Sharepointlite
MEETING_ROOM_MCOEV,Meeting Room - Microsoft Phone System
VISIOCLIENT_VISIOONLINE,Visio Online P2 - Vision Online
SPE_E3_USGOV_GCCHIGH,Microsoft 365 E3_USGOV_GCCHIGH
EXCHANGE_S_ENTERPRISE,Exchange Online (Plan 2)
FLOW_DYN_P2,Power Automate for Dynamics 365
SMB_BUSINESS_PREMIUM,Microsoft 365 Business Standard - Prepaid Legacy
ENTERPRISEPREMIUM_INFO_GOVERNANCE,O365 E5 - Microsoft Information Governance
ENTERPRISEWITHSCAL_MCOVOICECONF,O365 E4 - Audio Conferencing
SMB_BUSINESS_ESSENTIALS_MCOSTANDARD,M365 Business Basic - Skype for Business Online (P2)
Trial DYN365_AI_SERVICE_INSIGHTS,Dynamics 365 Customer Service Insights
ENTERPRISEPREMIUM_MTP,O365 E5 - Microsoft Threat Protection
BPOS_S_TODO_FIRSTLINE,To-do (Firstline)
DESKLESSPACK_DESKLESS,O365 F1 - Microsoft StaffHub
EXCHANGEENTERPRISE ,Exchange Online Plan 2
Dynamics_365_Onboarding_Free_PLAN,Dynamics 365 for Talent: Onboard
DEVELOPERPACK,Office 365 E3 Developer
CRMENTERPRISE,Microsoft Dynamics CRM Online Enterprise
IT_ACADEMY_AD,Microsoft Imagine Academy
EXCHANGEDESKLESS,Exchange Online Kiosk
DYN365_FINANCIALS_BUSINESS_SKU_POWERAPPS_DYN_APPS,D365 for Financials Business Edition - PowerApps for Office 365
TEAMSMULTIGEO,Teams Multi-Geo
CDS_POWERAPPS_PORTALS_LOGIN,Common Data Service Power Apps Portals Login Capacity
SMB_BUSINESS_ESSENTIALS_FLOW_O365_P1,M365 Business Basic - Flow for Office 365
AAD_BASIC,Azure Active Directory Basic
CUSTOMER_KEY,Microsoft Customer Key
GUIDES_USER_DYN365_CDS_GUIDES,User Guides - Common Data Service
EXCHANGE_STANDARD_ALUMNI,Exchange Online (Plan 1) for alumni
POWERAPPS_INDIVIDUAL_USER_POWERVIDEOSFREE,Power Apps and Logic Flows - Microsoft Power Videos Basic
Flow_Per_APP,Power Automate for Power Apps per App Plan
Virtualization Rights for Windows 10 (E3/E5+VDA),Windows 10 Enterprise (new)
PBI_PREMIUM_P1_ADDON,Power BI Premium P1
EXCHANGEENTERPRISE_EXCHANGE_S_ENTERPRISE,Exchange Online (P2) - Exchange Online (P2)
FLOW_O365_P3_GOV,Power Automate for Office 365 P3 for Government
NBPROFESSIONALFORCRM,Microsoft Social Engagement Professional
TEAMS_COMMERCIAL_TRIAL_POWERAPPS_O365_P1,Microsoft Teams Commercial Cloud - PowerApps for Office 365
EXCHANGEESSENTIALS,Exchange Online Essentials
SKU_DYNAMICS_365_FOR_HCM_TRIAL_DYN365_CDS_DYN_APPS,Dynamics 365 for Talents
MCOPSTNPP,Skype for Business PSTN Usage Calling Plan
MCOPSTN2_MCOPSTN2,Microsoft 365 Domestic And International Calling Plan
D365_AssetforSCM,Asset Maintenance Add-in
RMS_S_PREMIUM2,Azure Information Protection Premium P2
EXCHANGE_B_STANDARD,Exchange Online Pop
POWER_BI_STANDARD_FACULTY,Power BI (free) for Faculty
DYN365_AI_SERVICE_INSIGHTS,Dynamics 365 Customer Service Insights Trial
O365_BUSINESS_PREMIUM_STREAM_O365_SMB,M365 Business Standard - Stream for Office 365
WHITEBOARD_PLAN3,Whiteboard (Plan 3)
MCOPSTN1_MCOPSTN1,Microsoft 365 Domestic Calling Plan
ENTERPRISEPACK_MIP_S_CLP1,O365 E3 - Information Protection for Office 365 - Standard
BPOS_S_DlpAddOn,Data Loss Prevention
SMB_BUSINESS_PREMIUM_MICROSOFTBOOKINGS,M365 Business Standard - Microsoft Bookings
Dynamics_365_for_Operations_Sandbox_Tier2,Dynamics 365 for Operations non-production multi-box instance for standard acceptance testing (Tier 2)
PROJECTPROFESSIONAL_PROJECT_PROFESSIONAL,Project Online Professional - Project Professional
WACSHAREPOINTENT,Office Web Apps with SharePoint Plan 2
ENTERPRISEWITHSCAL_MCOSTANDARD,O365 E4 - Skype for Business Online (P2)
DESKLESSWOFFPACK,Office 365 Kiosk P2
ONEDRIVESTANDARD_GOV,OneDrive for Business for Government (Plan 1G)
DYN365_ENTERPRISE_PLAN1_DYN365_ENTERPRISE_P1,Dynamics 365 Customer Engagement Plan
CDS_PER_APP,CDS PowerApps per app plan
ENTERPRISEPREMIUM_NOPSTNCONF_SHAREPOINTENTERPRISE,O365 E5 Without Audio Conferencing - SharePoint (P2)
O365_BUSINESS_PREMIUM_PROJECTWORKMANAGEMENT,M365 Business Standard - Microsoft Planner
FLOW_P2_FLOW_P2,Flow Plan 2
ENTERPRISEPACK_SHAREPOINTWAC,O365 E3 - Office for web
DEVELOPERPACK_EXCHANGE_S_ENTERPRISE,O365 E3 Developer - Exchange Online (P2)
MYANALYTICS_P2,Insights By Myanalytics
DYN365_TEAM_MEMBERS,Dynamics 365 Team Members
POWERAPPS_INDIVIDUAL_USER_POWERAPPSFREE,Power Apps and Logic Flows - Microsoft PowerApps
FLOW_P2_VIRAL,Flow Free
SMB_BUSINESS_PREMIUM_O365_SB_RELATIONSHIP_MANAGEMENT,M365 Business Standard -
ENTERPRISEPREMIUM_BI_AZURE_P2,O365 E5 - Power BI Pro
DYN365_ENTERPRISE_CUSTOMER_SERVICE,Dynamics 365 for Customer Service Enterprise Edition
OFFICE_FORMS_PLAN_2,Microsoft Forms (Plan 2)
DYNAMICS_365_FOR_OPERATIONS_TEAM_MEMBERS,DYNAMICS 365 FOR OPERATIONS TEAM MEMBERS
SMB_BUSINESS_ESSENTIALS_TEAMS1,M365 Business Basic - Microsoft Teams
PROJECT_MADEIRA_PREVIEW_IW_SKU,Dynamics 365 Business Central for IWs
TEAMS_AR_DOD,Microsoft Teams for DoD (AR)
DESKLESSPACK_YAMMER_ENTERPRISE,O365 F1 - Yammer Enterprise
O365_BUSINESS_ESSENTIALS_POWERAPPS_O365_P1,M365 Business Basic - PowerApps for Office 365
FORMS_PLAN_E1,Microsoft Forms (Plan E1)
O365_BUSINESS_PREMIUM_SHAREPOINTWAC,M365 Business Standard - Office for web
O365_BUSINESS_ESSENTIALS_SHAREPOINTSTANDARD,M365 Business Basic - SharePoint (P1)
PROJECTESSENTIALS_GOV,Project Online Essentials for Government
POWERAPPS_PORTALS_PAGEVIEW_GCC,Power Apps Portals page view capacity add-on for Government
PROJECTWORKMANAGEMENT,Office 365 Planner
DYN365_FINANCIALS_BUSINESS_SKU_FLOW_DYN_APPS,D365 for Financials Business Edition - Flow for Dynamics 365
POWERAPPS_O365_P3,Power Apps for Office 365 P3
PLANNERSTANDALONE,Planner Standalone
DYN365_ENTERPRISE_TEAM_MEMBERS_DYNAMICS_365_FOR_RETAIL_TEAM_MEMBERS,D365 for Team Members Ent Edition - Dynamics 365 for Retail Member
DYNAMICS_365_ONBOARDING_SKU_DYNAMICS_365_TALENT_ONBOARD,Dynamics 365 for Talent: Onboard - Dynamics 365 for Talent: Onboard
ATA,Microsoft Defender for Identity
FLOW_VIRTUAL_AGENT_BASE,Power Automate for Virtual Agent
DESKLESSPACK_BPOS_S_TODO_FIRSTLINE,O365 F1 - To-do (Firstline)
CDS_VIRTUAL_AGENT_BASE,Common Data Service for Virtual Agent Base
SPE_F1_DYN365_CDS_O365_F1,M365 F1 - Common Data Service
DESKLESSPACK_PROJECTWORKMANAGEMENT,O365 F1 - Microsoft Planner
ENTERPRISEWITHSCAL_FACULTY,Office 365 Education E4 for Faculty
MICROSOFT_REMOTE_ASSIST_TEAMS1,Microsoft Remote Assistant - Microsft Teams
DESKLESSPACK_DYN365_CDS_O365_F1,O365 F1 - Common Data Service
ENTERPRISEPREMIUM_NOPSTNCONF_PROJECTWORKMANAGEMENT,O365 E5 Without Audio Conferencing - Microsoft Planner
ADALLOM_S_O365,Office 365 Cloud App Security
AAD_BASIC_AAD_BASIC,Azure AD Basic - Azure Active Directory Basic
SKU_DYNAMICS_365_FOR_HCM_TRIAL_FLOW_DYN_APPS,Dynamics 365 for Talents - Flow for Dynamics 365
MCOEV_STUDENT,Microsoft Teams Phone Standard for Student
CORTEX,Viva Topics
TEAMS_COMMERCIAL_TRIAL_YAMMER_ENTERPRISE,Microsoft Teams Commercial Cloud - Yammer Enterprise
CRMSTANDARD_POWERAPPS_DYN_APPS,MS Dynamics CRM Online - PowerApps for Office 365
WIN10_PRO_ENT_SUB_WIN10_PRO_ENT_SUB,Windows 10 Enterprise E3
LITEPACK_SWAY,O365 Small Business - Sway
NONPROFIT_PORTAL,Nonprofit Portal
EOP_ENTERPRISE_PREMIUM,"Exchange Enterprise CAL Services (EOP, DLP)"
POWER_BI_INDIVIDUAL_USER,Power BI for Office 365 Individual
DYN365_CDS_O365_P2_GCC,Common Data Service - O365 P2 GCC
MFA_STANDALONE,Microsoft Azure Multi-Factor Authentication
CDS_POWERAPPS_PORTALS_LOGIN_GCC,Common Data Service Power Apps Portals Login Capacity for GCC
M365EDU_A1,Microsoft 365 A1
MCOMEETBASIC,Microsoft Teams Audio Conferencing with dial-out to select geographies
LITEPACK_EXCHANGE_L_STANDARD,O365 Small Business - Exchange Online (P1)
SPE_F1_RMS_S_ENTERPRISE,M365 F1 - Azure Rights Management
STREAM,Microsoft Stream Trial
MCOPSTNEAU,AUSTRALIA CALLING PLAN
STANDARDPACK_DESKLESS,O365 E1 - Microsoft StaffHub
M365_F1_PROJECTWORKMANAGEMENT,M365 F1 - Microsoft Planner
CDS_O365_P1,Common Data Service for Teams_P1
DESKLESSPACK_MCOIMP,O365 F1 - Skype for Business Online (P1)
NBENTERPRISE,Microsoft Social Engagement Enterprise
SHAREPOINTENTERPRISE_SHAREPOINTENTERPRISE,Sharepoint Online (Plan 2)
COMPLIANCE_MANAGER_PREMIUM_ASSESSMENT_ADDON,Compliance Manager Premium Assessment Add-On
STREAM_O365_K,Microsoft Stream for Office 365 F1 SKU
M365_F1_MCOIMP,M365 F1 - Skype for Business Online (P1)
POWER_BI_STANDALONE_STUDENT,Power BI for Office 365 for Students
SHAREPOINTDESKLESS_GOV,SharePoint Online Kiosk
AAD_PREMIUM,Azure Active Directory Premium P1
STANDARDPACK_EXCHANGE_S_STANDARD,O365 E1 - Exchange Online (P2)
SPE_F1,Microsoft 365 F3
CRMPLAN2_FLOW_DYN_APPS,MS Dynamics CRM Online Basic  - Flow for Dynamics 365
POWERAPPS_VIRAL_POWERAPPS_P2_VIRAL,Power Apps Plan 2 Trial - PowerApps Trial
STANDARDWOFFPACK_POWERAPPS_O365_P1,O365 E2 - PowerApps for Office 365
CDS_LOG_CAPACITY,Common Data Service Log Capacity
O365_BUSINESS_PREMIUM_MICROSOFTBOOKINGS,M365 Business Standard - Microsoft Bookings
ENTERPRISEPACK_USGOV_GCCHIGH ,Office 365 E3 US GOV GCC High
PROJECTCLIENT,Project for Office 365
FLOW_P1,Power Automate Plan 1
ENTERPRISEPREMIUM_ADALLOM_S_O365,O365 E5 - Office 365 Advanced Security Management
EMSPREMIUM_RMS_S_PREMIUM2,Ent Mobility + Security E5 - Azure Information Protection P2
STANDARD_B_PILOT,Office 365 (Small Business Preview)
SMB_BUSINESS_SWAY,M365 Apps for Business - Sway
O365_BUSINESS_ESSENTIALS_YAMMER_ENTERPRISE,M365 Business Basic - Yammer Enterprise
RIGHTSMANAGEMENT_STUDENT,Azure Active Directory Rights for Students
ENTERPRISEPACK_KAIZALA_O365_P3,O365 E3 - Microsoft Kaizala Pro
PROJECTONLINE_PLAN_2_FORMS_PLAN_E1,Project Online With Project for O365 - Microsft Forms (Plan E1)
EducationAnalyticsP1,Education Analytics
D365_SALES_ENT_ATTACH,Dynamics 365 Sales Enterprise Attach to Qualifying Dynamics 365 Base Offer
WACSHAREPOINTSTD_STUDENT,Office Web Apps (Plan 1 For Students)
MIDSIZEPACK_OFFICESUBSCRIPTION,O365 Midsize Business - Office 365 ProPlus
ENTERPRISEPREMIUM_PAM_ENTERPRISE,O365 E5 - Office 365 Privileged Access Management
SHAREPOINTENTERPRISE_MIDMARKET,SHAREPOINT PLAN 1
MICROSOFT_BUSINESS_CENTER,Microsoft Business Center
VISIOCLIENT,Visio Online Plan 2
MCOCAP_MCOSTANDARD,Common Area Phone - Skype for Business Online (P2)
OFFICESUBSCRIPTION_FORMS_PLAN_E1,M365 Apps for Enterprise - Microsft Forms (Plan E1)
DESKLESSPACK_YAMMER,Office 365 F1 with Yammer
SMB_BUSINESS_ESSENTIALS_SHAREPOINTWAC,M365 Business Basic - Office for web
ATP_ENTERPRISE_FACULTY,Microsoft Defender for Office 365 (Plan 1) Faculty
CRMSTANDARD_CRMSTANDARD,Microsoft Dynamics CRM Online
EOP_ENTERPRISE_FACULTY,Exchange Online Protection for Faculty
CPC_B_2C_4RAM_64GB,"Windows 365 Business 2 vCPU, 4 GB, 64 GB"
LITEPACK_P2_EXCHANGE_L_STANDARD,Office 365 Small Business Premium - Exchange Online (P1)
SPE_E3,Microsoft 365 E3
DESKLESSPACK_FORMS_PLAN_K,O365 F1 - Microsoft Forms (Plan F1)
SPE_F1_OFFICEMOBILE_SUBSCRIPTION,M365 F1 - Office Mobile Apps for Office 365
WIN10_ENT_LOC_F1,Windows 10 Enterprise E3 (local Only)
STANDARDPACK,Office 365 E1
DYN365_CUSTOMER_SERVICE_PRO,Dynamics 365 Customer Service Professional
EMSPREMIUM_MFA_PREMIUM,Ent Mobility + Security E5 - Azure Multi-Factor Authentication
INTUNE_SMB,Microsoft Intune SMB
ENTERPRISEPREMIUM_STREAM_O365_E5,O365 E5 - Stream for Office 365
TEAMS1,Microsoft Teams
POWERAPPS_CUSTOMER_SERVICE_PRO,Power Apps for Customer Service Pro
INTUNE_EDU,Microsoft Intune for Education
SHAREPOINTDESKLESS_SHAREPOINTDESKLESS,Sharepoint Online Kiosk - Sharepoint Online Kiosk
DYN365_CDS_SUPPLYCHAINMANAGEMENT,Common Data Service for Dynamics 365 Supply Chain Management
ENTERPRISEPREMIUM_COMMUNICATIONS_DLP,O365 E5 - Microsoft Communications Dlp
Flow_PowerApps_PerUser,Power Automate for Power Apps per User Plan
SPE_F1_DESKLESS,M365 F1 - Microsoft Staffhub
SPE_F1_WIN10_ENT_LOC_F1,M365 F1 - Windows 10 Enterprise E3 (local Only)
POWER_BI_PRO_FACULTY,Power BI Pro for faculty
Dyn365_Operations_Activity,Dyn365 f?r Operations Activity Enterprise Edition
STREAM_STORAGE,Microsoft Stream Storage Add-On (500 GB)
O365_BUSINESS_PREMIUM_DYN365BC_MS_INVOICING,M365 Business Standard - Microsoft Invoicing
PROJECTONLINE_PLAN_2_GOV,Project Plan 2 for Government
PROJECTPROFESSIONAL_PROJECT_CLIENT_SUBSCRIPTION,Project Online Professional - Project Online Desktop Client
MCOPSTN3,MCOPSTN3
TEAMS_COMMERCIAL_TRIAL_SHAREPOINTDESKLESS,Microsoft Teams Commercial Cloud - SharePoint Kiosk
MCOIMP,Skype for Business Online (Plan 1)
MCOCAP_TEAMS1,Common Area Phone - Microsoft Teams
DYN365_AI_SERVICE_INSIGHTS_DYN365_AI_SERVICE_INSIGHTS,Dynamics 365 Customer Service Insights
POWERAPPS_SALES_PRO,Power Apps for Sales Pro
DYN365_FINANCIALS_BUSINESS_SKU_DYN365_FINANCIALS_BUSINESS,Dynamics 365 for Financials Business Edition
ENTERPRISEPREMIUM_WHITEBOARD_PLAN3,O365 E5 - Whiteboard (P3)
WORKPLACE_ANALYTICS_INSIGHTS_BACKEND,Microsoft Workplace Analytics Insights Backend
SHAREPOINT_S_DEVELOPER,SharePoint for Developper
POWERAPPS_O365_P1,Power Apps for Office 365
ENTERPRISEPACK_FACULTY,Office 365 Education E3 for Faculty
ENTERPRISEWITHSCAL_STREAM_O365_E3,O365 E4 - Stream for Office 365
STANDARDPACK_SWAY,O365 E1 - Sway
DYN365_ENTERPRISE_PLAN1_SHAREPOINTENTERPRISE,D365 Customer Engagement Plan Ent Edition - SharePoint (P2)
STANDARDPACK_FACULTY,Office 365 Education E1 for Faculty
VIVAENGAGE_CORE,Viva Engage Core
DYNB365_CSI_VIRAL_TRIAL,Dynamics 365 Customer Service Insights vTrial
Forms_Pro_Service,Microsoft Dynamics 365 Customer Voice for Customer Service Enterprise
